question_no | count      | i          | time_spent 
       32151|          10|          10|                  9.16 
        4014|          20|          20|                 18.71 
       14546|          30|          30|                 26.95 
        3171|          40|          40|                 34.55 
       44600|          50|          50|                 42.06 
       10966|          60|          60|                 50.72 
        7590|          70|          70|                 60.06 
        4225|          80|          80|                 68.01 
       24852|          90|          90|                 76.16 
       56516|         100|         100|                 83.21 
       35467|         110|         110|                 90.27 
        1312|         120|         120|                 97.86 
       45490|         130|         130|                105.26 
       44315|         140|         140|                113.27 
       31559|         150|         150|                121.92 
      166564|         160|         160|                133.21 
       63831|         170|         170|                140.29 
       49143|         180|         180|                148.66 
       32591|         190|         190|                156.35 
      157891|         200|         200|                163.50 
       28553|         210|         210|                171.63 
        4715|         220|         220|                178.31 
       65353|         230|         230|                186.73 
        9746|         240|         240|                197.57 
         578|         250|         250|                206.52 
        3856|         260|         260|                215.55 
       25526|         270|         270|                224.68 
       25887|         280|         280|                231.61 
       32050|         290|         290|                241.76 
        5192|         300|         300|                248.68 
      151294|         310|         310|                256.93 
        3537|         320|         320|                265.85 
       13839|         330|         330|                273.22 
        7507|         340|         340|                281.27 
       36937|         350|         350|                289.15 
       34993|         360|         360|                296.29 
       63928|         370|         370|                304.97 
        7246|         380|         380|                313.09 
       36681|         390|         390|                321.91 
      157725|         400|         400|                329.39 
      149503|         410|         410|                337.36 
       49750|         420|         420|                345.15 
       46082|         430|         430|                353.75 
       48738|         440|         440|                362.02 
       27567|         450|         450|                369.46 
       43341|         460|         460|                376.68 
       15684|         470|         470|                385.77 
       40717|         480|         480|                393.56 
        6433|         490|         490|                402.05 
       57293|         500|         500|                408.99 
       62485|         510|         510|                417.70 
        4316|         520|         520|                425.42 
       47366|         530|         530|                432.92 
        7307|         540|         540|                440.42 
       45061|         550|         550|                447.24 
        9690|         560|         560|                455.13 
      179747|         570|         570|                462.15 
       51265|         580|         580|                469.39 
       22991|         590|         590|                477.75 
       12198|         600|         600|                485.38 
        8818|         610|         610|                493.66 
       49671|         620|         620|                504.09 
        7934|         630|         630|                513.55 
         559|         640|         640|                522.31 
        2039|         650|         650|                529.92 
       32495|         660|         660|                537.16 
       24443|         670|         670|                545.83 
       27580|         680|         680|                555.04 
